"No Start Date","Num studies:1",""
"word","number of mentions","Avg percent of mentions per study"
"program",3,"4.3478260869565215%"
"to",3,"4.3478260869565215%"
"trx0237",3,"4.3478260869565215%"
"in",3,"4.3478260869565215%"
"this",2,"2.898550724637681%"
"is",2,"2.898550724637681%"
"an",2,"2.898550724637681%"
"access",2,"2.898550724637681%"
"for",2,"2.898550724637681%"
"eligible",2,"2.898550724637681%"
"participants",2,"2.898550724637681%"
"participation",2,"2.898550724637681%"
"clinical",2,"2.898550724637681%"
"trial",2,"2.898550724637681%"
"have",2,"2.898550724637681%"
"previously",2,"2.898550724637681%"
"a",2,"2.898550724637681%"
"expanded",1,"1.4492753623188406%"
"eap",1,"1.4492753623188406%"
"designed",1,"1.4492753623188406%"
"provide",1,"1.4492753623188406%"
"continued",1,"1.4492753623188406%"
"individual",1,"1.4492753623188406%"
"patients",1,"1.4492753623188406%"
"with",1,"1.4492753623188406%"
"early",1,"1.4492753623188406%"
"and",1,"1.4492753623188406%"
"mild-moderate",1,"1.4492753623188406%"
"alzheimer",1,"1.4492753623188406%"
"disease",1,"1.4492753623188406%"
"who",1,"1.4492753623188406%"
"do",1,"1.4492753623188406%"
"not",1,"1.4492753623188406%"
"qualify",1,"1.4492753623188406%"
"ongoing",1,"1.4492753623188406%"
"must",1,"1.4492753623188406%"
"completed",1,"1.4492753623188406%"
"of",1,"1.4492753623188406%"
"conducted",1,"1.4492753623188406%"
"by",1,"1.4492753623188406%"
"taurx",1,"1.4492753623188406%"
"or",1,"1.4492753623188406%"
"taken",1,"1.4492753623188406%"
"compassionate",1,"1.4492753623188406%"
"use",1,"1.4492753623188406%"
"among",1,"1.4492753623188406%"
"other",1,"1.4492753623188406%"
"criteria",1,"1.4492753623188406%"
